AUTH_OBJ_GRP,AUTH_GRP_DESC,AUTH_LEVEL,AUTH_OBJ_ID,del_ind
AUTH_GROUP_06,Admin,Form,AUTH_0048,0
AUTH_GROUP_01,Shopping,Feature ,AUTH_0004,0
AUTH_GROUP_01,Shopping,Feature ,AUTH_0002,0
AUTH_GROUP_01,Shopping,Form,AUTH_0015,0
AUTH_GROUP_01,Shopping,Form,AUTH_0016,0
AUTH_GROUP_01,Shopping,Form,AUTH_0017,0
AUTH_GROUP_01,Shopping,Form,AUTH_0018,0
AUTH_GROUP_01,Shopping,Form,AUTH_0035,0
AUTH_GROUP_01,Shopping,Form,AUTH_0036,0
AUTH_GROUP_01,Shopping,Form,AUTH_0037,0
AUTH_GROUP_02,Shopping plus,Feature ,AUTH_0001,0
AUTH_GROUP_02,Shopping plus,Form,AUTH_0013,0
AUTH_GROUP_02,Shopping plus,Feature ,AUTH_0007,0
AUTH_GROUP_02,Shopping plus,Feature ,AUTH_0004,0
AUTH_GROUP_02,Shopping plus,Feature ,AUTH_0003,0
AUTH_GROUP_02,Shopping plus,Form,AUTH_0014,0
AUTH_GROUP_02,Shopping plus,Form,AUTH_0015,0
AUTH_GROUP_02,Shopping plus,Form,AUTH_0016,0
AUTH_GROUP_02,Shopping plus,Form,AUTH_0017,0
AUTH_GROUP_02,Shopping plus,Form,AUTH_0018,0
AUTH_GROUP_02,Shopping plus,Form,AUTH_0035,0
AUTH_GROUP_02,Shopping plus,Form,AUTH_0036,0
AUTH_GROUP_02,Shopping plus,Form,AUTH_0037,0
AUTH_GROUP_03,Approvals,Feature ,AUTH_0001,0
AUTH_GROUP_03,Approvals,Form,AUTH_0013,0
AUTH_GROUP_03,Approvals,Feature ,AUTH_0007,0
AUTH_GROUP_03,Approvals,Feature ,AUTH_0006,0
AUTH_GROUP_03,Approvals,Field,AUTH_0034,0
AUTH_GROUP_04,Shopper Assist,Feature ,AUTH_0001,0
AUTH_GROUP_04,Shopper Assist,Form,AUTH_0013,0
AUTH_GROUP_04,Shopper Assist,Feature ,AUTH_0007,0
AUTH_GROUP_04,Shopper Assist,Feature ,AUTH_0009,0
AUTH_GROUP_04,Shopper Assist,Form,AUTH_0023,0
AUTH_GROUP_04,Shopper Assist,Form,AUTH_0035,0
AUTH_GROUP_04,Shopper Assist,Form,AUTH_0036,0
AUTH_GROUP_04,Shopper Assist,Form,AUTH_0037,0
AUTH_GROUP_05,Purchaser,Feature ,AUTH_0001,0
AUTH_GROUP_05,Purchaser,Form,AUTH_0013,0
AUTH_GROUP_05,Purchaser,Feature ,AUTH_0007,0
AUTH_GROUP_07,CONTENT MANAGEMENT,Form,AUTH_0008,0
AUTH_GROUP_05,Purchaser,Form,AUTH_0024,0
AUTH_GROUP_05,Purchaser,Form,AUTH_0025,0
AUTH_GROUP_06,Admin,Feature ,AUTH_0001,0
AUTH_GROUP_06,Admin,Form,AUTH_0013,0
AUTH_GROUP_06,Admin,Feature ,AUTH_0007,0
AUTH_GROUP_06,Admin,Feature ,AUTH_0010,0
AUTH_GROUP_06,Admin,Form,AUTH_0011,0
AUTH_GROUP_06,Admin,Feature ,AUTH_0005,0
AUTH_GROUP_06,Admin,Feature ,AUTH_0012,0
AUTH_GROUP_06,Admin,Form,AUTH_0019,0
AUTH_GROUP_06,Admin,Form,AUTH_0020,0
AUTH_GROUP_06,Admin,Form,AUTH_0021,0
AUTH_GROUP_06,Admin,Form,AUTH_0022,0
AUTH_GROUP_07,CONTENT MANAGEMENT,Form,AUTH_0044,0
AUTH_GROUP_07,CONTENT MANAGEMENT,Form,AUTH_0043,0
AUTH_GROUP_07,CONTENT MANAGEMENT,Feature ,AUTH_0042,0
AUTH_GROUP_06,Admin,FEATURE,AUTH_0048,0
AUTH_GROUP_41,Shopping Plus,FIELD,AUTH_0040,0
AUTH_GROUP_04,Shopper Assist,FEATURE,AUTH_0003,0
AUTH_GROUP_01,Shopping,Form,AUTH_0026,0
AUTH_GROUP_03,Approvals,Form,AUTH_0038,0
AUTH_GROUP_01,Shopping,FIELD,AUTH_0021,0
AUTH_GROUP_01,Shopping plus,Form,AUTH_0018,0
AUTH_GROUP_41,Shopping plus,Form,AUTH_0020,0
AUTH_GROUP_01,Shopping,Form,AUTH_0027,0
AUTH_GROUP_02,Shopping Plus,Form,AUTH_0027,0
AUTH_GROUP_01,Shopping,FEATURE,AUTH_0020,0
AUTH_GROUP_02,Shopping Plus,Form,AUTH_0026,0
AUTH_GROUP_06,Admin,FORM,AUTH_0048,0
AUTH_GROUP_01,Shopping,Form,AUTH_0018,0
AUTH_GROUP_05,Purchaser,Form,AUTH_0027,0
AUTH_GROUP_05,Purchaser,Form,AUTH_0026,0
AUTH_GROUP_04,Shopper Assist,Form,AUTH_0026,0
AUTH_GROUP_06,Admin,Form,AUTH_0026,0
AUTH_GROUP_03,Approvals,Form,AUTH_0027,0
AUTH_GROUP_03,Approvals,Form,AUTH_0026,0
AUTH_GROUP_06,Admin,Form,AUTH_0027,0
AUTH_GROUP_04,Shopper Assist,Form,AUTH_0027,0
AUTH_GROUP_06,Admin,Form,AUTH_0040,0
AUTH_GROUP_06,Admin,Form,AUTH_0039,0
